"Name","DisplayName","State","StartMode"
"1394ohci","1394 OHCI Compliant Host Controller","Stopped","Manual"
"3ware","3ware","Stopped","Manual"
"ACPI","Microsoft ACPI Driver","Running","Boot"
"AcpiAudioCompositor","ACPI Audio Compositor Device","Running","Manual"
"AcpiAudioCompositorInbox","ACPI Audio Compositor Driver","Stopped","Manual"
"AcpiDev","ACPI Devices driver","Stopped","Manual"
"acpiex","Microsoft ACPIEx Driver","Running","Boot"
"acpipagr","ACPI Processor Aggregator Driver","Running","Manual"
"AcpiPmi","ACPI Power Meter Driver","Stopped","Manual"
"acpitime","ACPI Wake Alarm Driver","Running","Manual"
"Acx01000","Acx01000","Running","Manual"
"ADP80XX","ADP80XX","Stopped","Manual"
"AFD","Ancillary Function Driver for Winsock","Running","System"
"afunix","afunix","Running","System"
"ahcache","Application Compatibility Cache","Running","System"
"amdgpio2","AMD GPIO Client Driver","Stopped","Manual"
"amdi2c","AMD I2C Controller Service","Stopped","Manual"
"AmdK8","AMD K8 Processor Driver","Stopped","Manual"
"AmdPPM","AMD Processor Driver","Stopped","Manual"
"amdsata","amdsata","Stopped","Manual"
"amdsbs","amdsbs","Stopped","Manual"
"amdwps","AMD Workload Profiling Scheduling Driver","Running","Boot"
"amdxata","amdxata","Stopped","Manual"
"AppID","AppID Driver","Stopped","Manual"
"AppleSSD","Apple Solid State Drive Device","Stopped","Manual"
"applockerfltr","Smartlocker Filter Driver","Stopped","Manual"
"AppvStrm","AppvStrm","Stopped","Manual"
"AppvVemgr","AppvVemgr","Stopped","Manual"
"AppvVfs","AppvVfs","Stopped","Manual"
"arcsas","Adaptec SAS/SATA-II RAID Storport's Miniport Driver","Stopped","Manual"
"AsyncMac","RAS Asynchronous Media Driver","Stopped","Manual"
"atapi","IDE Channel","Stopped","Manual"
"b06bdrv","QLogic Network Adapter VBD","Stopped","Manual"
"bam","Background Activity Moderator Driver","Running","System"
"BasicDisplay","BasicDisplay","Running","System"
"BasicRender","BasicRender","Running","System"
"bcmfn2","bcmfn2 Service","Stopped","Manual"
"Beep","Beep","Running","System"
"bertreader","BERT Reader Service","Stopped","Manual"
"bfs","Brokering File System","Running","Auto"
"bindflt","Windows Bind Filter Driver","Running","Auto"
"bowser","Browser","Running","Manual"
"BthA2dp","Microsoft Bluetooth A2dp driver","Running","Manual"
"BthEnum","Bluetooth Enumerator Service","Running","Manual"
"BthHFEnum","Microsoft Bluetooth Hands-Free Profile driver","Running","Manual"
"BthLEEnum","Bluetooth Low Energy Driver","Running","Manual"
"BthMini","Bluetooth Radio Driver","Running","Manual"
"BTHMODEM","Bluetooth Modem Communications Driver","Running","Manual"
"BthPan","Bluetooth Device (Personal Area Network)","Running","Manual"
"BTHPORT","Bluetooth Port Driver","Running","Manual"
"BTHUSB","Bluetooth Radio USB Driver","Stopped","Manual"
"bttflt","Microsoft Hyper-V VHDPMEM BTT Filter","Stopped","Manual"
"buttonconverter","Service for Portable Device Control devices","Running","Manual"
"CAD","Charge Arbitration Driver","Running","Manual"
"camera","camera","Running","Manual"
"CDD","Canonical Display Driver","Running","Manual"
"cdfs","CD/DVD File System Reader","Stopped","Disabled"
"cdrom","CD-ROM Driver","Running","System"
"cht4iscsi","cht4iscsi","Stopped","Manual"
"cht4vbd","Chelsio Virtual Bus Driver","Stopped","Manual"
"CimFS","CimFS","Running","System"
"circlass","Consumer IR Devices","Stopped","Manual"
"CldFlt","Windows Cloud Files Filter Driver","Running","Auto"
"CLFS","Common Log (CLFS)","Running","Boot"
"CmBatt","Microsoft ACPI Control Method Battery Driver","Running","Manual"
"CNG","CNG","Running","Boot"
"cnghwassist","CNG Hardware Assist algorithm provider","Stopped","Disabled"
"CompositeBus","Composite Bus Enumerator Driver","Running","Manual"
"condrv","Console Driver","Running","Manual"
"CSC","Offline Files Driver","Running","System"
"dam","Desktop Activity Moderator Driver","Running","System"
"DellBV","Dell BIOS Verification Driver","Stopped","Manual"
"DellInstrumentation","DellInstrumentation Service","Running","Manual"
"devmap","Usermode Device Mapper Service","Stopped","Manual"
"Dfsc","DFS Namespace Client Driver","Running","System"
"disk","Disk Driver","Running","Boot"
"DisplayMux","Microsoft DisplayMux","Stopped","Manual"
"dmvsc","dmvsc","Stopped","Manual"
"DPMDriver","Dell Peripheral Manager Driver Service","Running","Manual"
"drmkaud","Microsoft Trusted Audio Drivers","Stopped","Manual"
"DwMirror","DwMirror","Running","System"
"dwvkbd","DameWare Virtual Keyboard 64 bit Driver","Running","System"
"DXGKrnl","LDDM Graphics Subsystem","Running","Boot"
"e1i68x64","Intel(R) PRO/1000 PCI Express Network Connection Driver I","Stopped","Manual"
"ebdrv","QLogic 10 Gigabit Ethernet Adapter VBD","Stopped","Manual"
"ebdrv0","QLogic Legacy Ethernet Adapter VBD","Stopped","Manual"
"EhStorClass","Enhanced Storage Filter Driver","Running","Boot"
"EhStorTcgDrv","Microsoft driver for storage devices supporting IEEE 1667 and TCG protocols","Stopped","Manual"
"ErrDev","Microsoft Hardware Error Device Driver","Stopped","Manual"
"ExecutionContext","CPU Scheduler for High Performance I/O","Running","Manual"
"exfat","exFAT File System Driver","Stopped","Manual"
"fastfat","FAT12/16/32 File System Driver","Running","Manual"
"fdc","Floppy Disk Controller Driver","Stopped","Manual"
"FileCrypt","FileCrypt","Running","System"
"FileInfo","File Information FS MiniFilter","Running","Boot"
"Filetrace","Filetrace","Stopped","Manual"
"flpydisk","Floppy Disk Driver","Stopped","Manual"
"FltMgr","FltMgr","Running","Boot"
"FortiFilter","FortiClient NDIS 6.3 Packet Filter Service","Running","System"
"Fortips","Fortips","Stopped","Manual"
"FortiTransCtrl","FortiTransCtrl","Stopped","Manual"
"FsDepends","File System Dependency Minifilter","Stopped","Manual"
"ftsvnic","Fortinet SSL VPN Virtual Ethernet Adapter","Running","Manual"
"ft_vnic","Fortinet Virtual Miniport (NDIS 6.30)","Running","Manual"
"fvevol","BitLocker Drive Encryption Filter Driver","Running","Boot"
"gencounter","Microsoft Hyper-V Generation Counter","Stopped","Manual"
"genericusbfn","Generic USB Function Class","Stopped","Manual"
"GenPass","Microsoft GenPass Driver","Stopped","Manual"
"GPIOClx0101","Microsoft GPIO Class Extension Driver","Running","Manual"
"HdAudAddService","Microsoft 1.1 UAA Function Driver for High Definition Audio Service","Stopped","Manual"
"HDAudBus","Microsoft UAA Bus Driver for High Definition Audio","Stopped","Manual"
"HidBatt","HID UPS Battery Driver","Stopped","Manual"
"HidBth","Microsoft Bluetooth HID Miniport","Stopped","Manual"
"HidEventFilter","Intel(R) HID Event Filter","Running","Manual"
"hidi2c","Microsoft I2C HID Miniport Driver","Running","Manual"
"hidinterrupt","Common Driver for HID Buttons implemented with interrupts","Stopped","Manual"
"HidIr","Microsoft Infrared HID Driver","Stopped","Manual"
"hidspi","Microsoft SPI HID Miniport Driver","Stopped","Manual"
"HidSpiCx","HidSpi KMDF Class Extension","Stopped","Manual"
"HidUsb","Microsoft HID Class Driver","Running","Manual"
"hm1092","Camera Sensor HM1092","Running","Manual"
"HpSAMD","HpSAMD","Stopped","Manual"
"Hsp","Microsoft Pluton Service","Stopped","Manual"
"HTTP","HTTP Service","Running","Manual"
"hvcrash","hvcrash","Stopped","Disabled"
