"Id","ProcessName","Path"
"10432","acrotray","C:\Program Files\Adobe\Acrobat DC\Acrobat\AcroTray.exe"
"25500","acrotray","C:\Program Files\Adobe\Acrobat DC\Acrobat\AcroTray.exe"
"17036","Adobe Desktop Service","C:\Program Files (x86)\Common Files\Adobe\Adobe Desktop Common\ADS\Adobe Desktop Service.exe"
"28568","AdobeCollabSync","C:\Program Files\Adobe\Acrobat DC\Acrobat\AdobeCollabSync.exe"
"28692","AdobeCollabSync","C:\Program Files\Adobe\Acrobat DC\Acrobat\AdobeCollabSync.exe"
"15488","AdobeIPCBroker","C:\Program Files (x86)\Common Files\Adobe\Adobe Desktop Common\IPCBox\AdobeIPCBroker.exe"
"5140","AdobeUpdateService",
"10388","AggregatorHost",
"14660","AppActions","C:\windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\AppActions.exe"
"18552","ApplicationFrameHost","C:\windows\system32\ApplicationFrameHost.exe"
"3344","armsvc",
"24952","audiodg",
"16244","backgroundTaskHost","C:\windows\system32\backgroundTaskHost.exe"
"24524","CCXProcess","C:\Program Files\Adobe\Adobe Creative Cloud Experience\CCXProcess.exe"
"30324","ClickToDo","C:\windows\SystemApps\MicrosoftWindows.Client.CoreAI_cw5n1h2txyewy\ClickToDo.exe"
"22968","cmd","C:\windows\system32\cmd.exe"
"944","conhost","C:\windows\system32\conhost.exe"
"5752","conhost","C:\windows\system32\conhost.exe"
"8344","conhost",
"8348","conhost",
"10072","conhost",
"18880","conhost",
"19880","conhost",
"19964","conhost",
"19976","conhost",
"19992","conhost",
"20016","conhost",
"20032","conhost",
"20108","conhost",
"20240","conhost",
"20296","conhost",
"23816","conhost",
"19916","CoreSync","C:\Program Files (x86)\Adobe\Adobe Sync\CoreSync\CoreSync.exe"
"3160","crashpad_handler",
"6312","crashpad_handler",
"24612","Creative Cloud","C:\Program Files\Adobe\Adobe Creative Cloud\ACC\Creative Cloud.exe"
"17384","Creative Cloud Helper","C:\Program Files\Adobe\Adobe Creative Cloud\ACC\Creative Cloud Helper.exe"
"4780","Creative Cloud UI Helper","C:\Program Files\Adobe\Adobe Creative Cloud\ACC\Creative Cloud UI Helper.exe"
"5588","Creative Cloud UI Helper","C:\Program Files\Adobe\Adobe Creative Cloud\ACC\Creative Cloud UI Helper.exe"
"22288","Creative Cloud UI Helper","C:\Program Files\Adobe\Adobe Creative Cloud\ACC\Creative Cloud UI Helper.exe"
"27668","Creative Cloud UI Helper","C:\Program Files\Adobe\Adobe Creative Cloud\ACC\Creative Cloud UI Helper.exe"
"29676","Creative Cloud UI Helper","C:\Program Files\Adobe\Adobe Creative Cloud\ACC\Creative Cloud UI Helper.exe"
"21436","CrossDeviceResume","C:\windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\CrossDeviceResume.exe"
"26916","CrossDeviceService","C:\Program Files\WindowsApps\MicrosoftWindows.CrossDevice_1.26042.110.0_x64__cw5n1h2txyewy\CrossDeviceService.exe"
"6012","CsGMMuteSrv",
"1020","csrss",
"12696","csrss",
"29280","ctfmon",
"19692","DDPM.Subagent",
"21540","DDPM.Subagent.User","C:\Program Files\Dell\Dell Display and Peripheral Manager\Plugins\Subagent\DDPM.Subagent.User.exe"
"15492","Dell.CoreServices.Client",
"19904","Dell.Digital.Delivery.Service.SubAgent",
"2096","Dell.Remediation.Agent",
"5108","Dell.TechHub",
"18624","Dell.TechHub.Analytics.SubAgent",
"19900","Dell.TechHub.DataManager.SubAgent",
"18592","Dell.TechHub.Diagnostics.SubAgent",
"18476","Dell.TechHub.Instrumentation.SubAgent",
"2360","Dell.TechHub.Instrumentation.UserProcess",
"22872","Dell.TrustedDevice.Service",
"19828","Dell.UCA.Manager",
"18528","Dell.Update.SubAgent",
"20012","Dell.UUE.CoreSubAgent",
"13540","Dell.UUE.User.SubAgent","C:\Program Files\Dell\DellOptimizer\SubAgents\Dell.UUE.User.SubAgent\Dell.UUE.User.SubAgent.exe"
"17696","DellEnterpriseClientFrameworkSubAgent",
"29200","DellOptimizer.Systray","C:\Program Files\Dell\DellOptimizer\Console\DellOptimizer.Systray.exe"
"22780","DellSupportAssistRemedationService",
"9804","dllhost","C:\windows\system32\DllHost.exe"
"20964","dllhost",
"18912","DPM","C:\Program Files\Dell\Dell Peripheral Manager\DPM.exe"
"7164","DPMCrashHandler",
"11944","DPMCrashHandler","C:\Program Files\Dell\Dell Peripheral Manager\DPMCrashHandler.exe"
"5228","DPMService",
"5260","DSAService",
"5300","DSAUpdateService",
"17684","dwm",
"5292","DWRCS",
"17336","DWRCST","C:\windows\dwrcs\DWRCST.exe"
"29256","EnduranceGamingProcess","C:\Program Files\Intel\EnduranceGaming\EnduranceGamingProcess.exe"
"28836","esrv","C:\Program Files\Intel\SUR\QUEENCREEK\x64\esrv.exe"
"5732","esrv_svc",
"30228","explorer","C:\windows\Explorer.EXE"
"10224","FCDBLog",
"1500","fontdrvhost",
"10892","fontdrvhost",
"10052","FortiSettings",
"10008","FortiSSLVPNdaemon",
"26964","FortiTray","C:\Program Files\Fortinet\FortiClient\FortiTray.exe"
"9500","FortiVPN",
"8560","IDBWM",
"8128","IDBWMService",
"0","Idle",
"16300","IGCCTray","C:\Program Files\WindowsApps\AppUp.IntelGraphicsCommandCenterBeta_1.100.1300.0_x64__8j3eq9eme6ctt\GCP.ML.BackgroundSysTray\IGCCTray.exe"
"5480","igfxShaderDistributionService",
"5384","IgoAudioService_x64",
"7356","iGoSwServer",
"16840","iGoSwServer","C:\windows\System32\DriverStore\FileRepository\igoaudioservice.inf_amd64_ee2a83702745c8c7\iGoSwServer.exe"
"5464","IntelAnalyticsService",
"5540","IntelAudioService",
"8532","IntelConnect",
"5916","IntelConnectivityNetworkService",
"9152","IntelConnectService",
"5644","IntelDisplayUMService",
"9896","IntelGraphicsSoftware.Service",
"5600","IntelProviderDataHelperService",
"15860","ipf_helper","C:\windows\System32\DriverStore\FileRepository\ipf_cpu.inf_amd64_5fe37e024ff302b0\ipf_helper.exe"
"5636","ipf_uf",
"5216","ipfsvc",
"5784","LMS",
"1232","LsaIso",
"1240","lsass",
"3920","Memory Compression",
"22696","Microsoft.Management.Services.IntuneWindowsAgent",
"17140","MixedRealityPairingHelper","C:\Program Files\WindowsApps\Microsoft.MixedRealityLink_26.5280.5181.0_x64__8wekyb3d8bbwe\Platform\MixedRealityPairingHelper.exe"
"5776","MpDefenderCoreService",
"21116","msdtc",
"1004","msedge","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe"
"12420","msedge","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe"
"12720","msedge","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe"
"14700","msedge","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe"
"16832","msedge","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe"
"18492","msedge","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe"
"29892","msedge","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe"
"3712","msedgewebview2","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\149.0.4022.80\msedgewebview2.exe"
"7272","msedgewebview2","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\149.0.4022.80\msedgewebview2.exe"
