"Name","DisplayName","State","StartMode","ProcessId"
"AdobeARMservice","Adobe Acrobat Update Service","Running","Auto","3344"
"AdobeUpdateService","AdobeUpdateService","Running","Auto","5140"
"ADPSvc","Aggregated Data Platform Service","Stopped","Manual","0"
"ALG","Application Layer Gateway Service","Stopped","Manual","0"
"AppIDSvc","Application Identity","Stopped","Manual","0"
"Appinfo","Application Information","Running","Manual","12444"
"AppMgmt","Application Management","Stopped","Manual","0"
"AppReadiness","App Readiness","Stopped","Manual","0"
"AppVClient","Microsoft App-V Client","Stopped","Disabled","0"
"AppXSvc","AppX Deployment Service (AppXSVC)","Running","Auto","13820"
"ApxSvc","Windows Virtual Audio Device Proxy Service","Stopped","Manual","0"
"AssignedAccessManagerSvc","AssignedAccessManager Service","Stopped","Manual","0"
"AudioEndpointBuilder","Windows Audio Endpoint Builder","Running","Auto","1692"
"Audiosrv","Windows Audio","Running","Auto","4244"
"autotimesvc","Cellular Time","Stopped","Manual","0"
"AxInstSV","ActiveX Installer (AxInstSV)","Stopped","Manual","0"
"BDESVC","BitLocker Drive Encryption Service","Running","Manual","1808"
"BFE","Base Filtering Engine","Running","Auto","2936"
"BITS","Background Intelligent Transfer Service","Running","Auto","21636"
"BrokerInfrastructure","Background Tasks Infrastructure Service","Running","Auto","1380"
"BTAGService","Bluetooth Audio Gateway Service","Running","Manual","1960"
"BthAvctpSvc","AVCTP service","Running","Manual","1968"
"bthserv","Bluetooth Support Service","Running","Manual","2040"
"camsvc","Capability Access Manager Service","Running","Auto","9764"
"CDPSvc","Connected Devices Platform Service","Running","Auto","3476"
"CertPropSvc","Certificate Propagation","Running","Manual","3460"
"ClickToRunSvc","Microsoft Office Click-to-Run Service","Running","Auto","5164"
"ClipSVC","Client License Service (ClipSVC)","Stopped","Manual","0"
"cloudidsvc","Microsoft Cloud Identity Service","Stopped","Manual","0"
"COMSysApp","COM+ System Application","Running","Manual","20964"
"CoreMessagingRegistrar","CoreMessaging","Running","Auto","2304"
"CryptSvc","Cryptographic Services","Running","Auto","4824"
"CscService","Offline Files","Stopped","Manual","0"
"CsGMMuteSrv","Cirrus Logic Global Mic Mute Service","Running","Auto","6012"
"DcomLaunch","DCOM Server Process Launcher","Running","Auto","1380"
"dcsvc","Declared Configuration(DC) service","Stopped","Manual","0"
"defragsvc","Optimize drives","Stopped","Manual","0"
"Dell SupportAssist Remediation","Dell SupportAssist Remediation","Running","Auto","22780"
"DellClientManagementService","Dell Client Management Service","Running","Auto","20876"
"DellTechHub","Dell TechHub","Running","Auto","5108"
"DellTrustedDevice","Dell Trusted Device","Running","Auto","22872"
"DeviceAssociationService","Device Association Service","Running","Manual","3088"
"DeviceInstall","Device Install Service","Stopped","Manual","0"
"DevQueryBroker","DevQuery Background Discovery Broker","Running","Manual","4812"
"Dhcp","DHCP Client","Running","Auto","2052"
"diagsvc","Diagnostic Execution Service","Stopped","Manual","0"
"DiagTrack","Connected User Experiences and Telemetry","Running","Auto","5132"
"DialogBlockingService","DialogBlockingService","Stopped","Disabled","0"
"DispBrokerDesktopSvc","Display Policy Service","Running","Auto","3416"
"DisplayEnhancementService","Display Enhancement Service","Running","Manual","2452"
"DmEnrollmentSvc","Device Management Enrollment Service","Stopped","Manual","0"
"dmwappushservice","Device Management Wireless Application Protocol (WAP) Push message Routing Service","Stopped","Auto","0"
"Dnscache","DNS Client","Running","Auto","1644"
"DoSvc","Delivery Optimization","Running","Auto","11424"
"dot3svc","Wired AutoConfig","Stopped","Manual","0"
"DPMService","Dell Peripheral Manager Service","Running","Auto","5228"
"DPS","Diagnostic Policy Service","Running","Auto","5188"
"dptftcs","Intel(R) Dynamic Tuning Technology Telemetry Service","Running","Auto","5216"
"DSAService","Intel(R) Driver & Support Assistant","Running","Auto","5260"
"DSAUpdateService","Intel(R) Driver & Support Assistant Updater","Running","Auto","5300"
"DsmSvc","Device Setup Manager","Stopped","Manual","0"
"DsSvc","Data Sharing Service","Running","Manual","13444"
"DusmSvc","Data Usage","Running","Auto","4728"
"dwmrcs","DameWare Mini Remote Control","Running","Auto","5292"
"EapHost","Extensible Authentication Protocol","Stopped","Manual","0"
"edgeupdate","Microsoft Edge Update Service (edgeupdate)","Stopped","Auto","0"
"edgeupdatem","Microsoft Edge Update Service (edgeupdatem)","Stopped","Manual","0"
"EFS","Encrypting File System (EFS)","Stopped","Manual","0"
"embeddedmode","Embedded Mode","Stopped","Manual","0"
"EntAppSvc","Enterprise App Management Service","Stopped","Manual","0"
"ESRV_SVC_QUEENCREEK","Energy Server Service queencreek","Running","Auto","5732"
"EventLog","Windows Event Log","Running","Auto","3744"
"EventSystem","COM+ Event System","Running","Auto","3812"
"FA_Scheduler","FortiClient VPN Service Scheduler","Running","Auto","4976"
"fdPHost","Function Discovery Provider Host","Stopped","Manual","0"
"FDResPub","Function Discovery Resource Publication","Stopped","Manual","0"
"fhsvc","File History Service","Stopped","Manual","0"
"FontCache","Windows Font Cache Service","Running","Auto","3576"
"FrameServer","Windows Camera Frame Server","Stopped","Manual","0"
"FrameServerMonitor","Windows Camera Frame Server Monitor","Stopped","Manual","0"
"GameInputSvc","GameInput Service","Stopped","Manual","0"
"GoogleChromeElevationService","Google Chrome Elevation Service (GoogleChromeElevationService)","Stopped","Manual","0"
"GoogleUpdaterInternalService150.0.7863.0","Google Updater Internal Service (GoogleUpdaterInternalService150.0.7863.0)","Stopped","Auto","0"
"GoogleUpdaterService150.0.7863.0","Google Updater Service (GoogleUpdaterService150.0.7863.0)","Stopped","Auto","0"
"gpsvc","Group Policy Client","Running","Auto","15584"
"GraphicsPerfSvc","GraphicsPerfSvc","Stopped","Manual","0"
"hidserv","Human Interface Device Service","Running","Manual","2568"
"hpatchmon","Hotpatch Monitoring Service","Stopped","Manual","0"
"HvHost","HV Host Service","Running","Manual","1816"
"icssvc","Windows Mobile Hotspot Service","Running","Manual","16032"
"IDBWM","Intel Dynamic Bandwidth Management","Running","Manual","8128"
"IgoAudioService","intelliGo Audio Service","Running","Auto","5384"
"IGSDSserviceIntegrated","Intel(R) Integrated Graphics Shader Distributor","Running","Auto","5480"
"IKEEXT","IKE and AuthIP IPsec Keying Modules","Running","Auto","5424"
"InstallService","Microsoft Store Install Service","Running","Manual","13328"
"Intel Analytics Service","Intel Analytics Service","Running","Auto","5464"
"Intel Connectivity Network Service","Intel Connectivity Network Service","Running","Auto","5916"
"Intel Provider Data Helper Service","Intel Provider Data Helper Service","Running","Auto","5600"
"Intel(R) SUR QC SAM","Intel(R) SUR QC Software Asset Manager","Stopped","Manual","0"
"IntelAudioService","Intel(R) Audio Service","Running","Auto","5540"
"IntelConnectService","IntelConnect Service","Running","Manual","9152"
"IntelDisplayUMService","Intel(R) Graphics Display Service","Running","Auto","5644"
"IntelGraphicsSoftwareService","Intel? Graphics Software","Running","Auto","9896"
"IntuneManagementExtension","Microsoft Intune Management Extension","Running","Auto","22696"
"InventorySvc","Inventory and Compatibility Appraisal service","Running","Auto","16796"
"ipfsvc","Intel(R) Innovation Platform Framework Service","Running","Auto","5636"
"iphlpsvc","IP Helper","Running","Auto","3936"
"IpxlatCfgSvc","IP Translation Configuration Service","Stopped","Manual","0"
"KeyIso","CNG Key Isolation","Running","Manual","1240"
"KtmRm","KtmRm for Distributed Transaction Coordinator","Stopped","Manual","0"
"LanmanServer","Server","Running","Auto","6192"
"LanmanWorkstation","Workstation","Running","Auto","3732"
"lfsvc","Geolocation Service","Running","Manual","11724"
"LicenseManager","Windows License Manager Service","Running","Manual","8648"
"lltdsvc","Link-Layer Topology Discovery Mapper","Stopped","Manual","0"
